Date,Open,High,Low,Close,Adj Close,Volume
2023-10-20,33.049999,33.130001,32.419998,32.590000,32.118336,389300
2023-10-23,32.520000,32.520000,31.600000,31.639999,31.182087,272600
2023-10-24,31.910000,31.910000,30.879999,30.910000,30.462650,446800
2023-10-25,30.820000,31.129999,30.309999,30.610001,30.166994,1090800
2023-10-26,30.820000,31.129999,29.790001,29.980000,29.546110,669400
2023-10-27,27.000000,27.520000,19.959999,20.139999,19.848520,2385100
2023-10-30,20.559999,21.240000,18.790001,19.830000,19.543009,2132900
2023-10-31,19.959999,20.889999,19.740000,20.790001,20.489117,860900
2023-11-01,20.730000,21.200001,20.600000,20.840000,20.538389,1021100
2023-11-02,21.230000,21.660000,20.860001,21.299999,20.991732,579000
2023-11-03,23.030001,23.420000,22.299999,22.480000,22.154655,932500
2023-11-06,22.719999,23.040001,22.430000,22.760000,22.430601,833900
2023-11-07,22.410000,23.360001,22.129999,23.200001,22.864237,819700
2023-11-08,23.180000,23.240000,22.559999,22.580000,22.253208,895400
2023-11-09,22.750000,23.549999,22.510000,23.420000,23.081051,539600
2023-11-10,23.629999,24.309999,23.250000,24.270000,23.918749,789200
2023-11-13,24.200001,24.450001,23.930000,23.980000,23.632946,480600
2023-11-14,24.660000,25.520000,24.549999,25.520000,25.150658,549100
2023-11-15,25.490000,26.200001,25.490000,26.129999,25.751829,526600
2023-11-16,25.959999,26.120001,25.389999,25.650000,25.278776,522500
2023-11-17,25.990000,26.280001,25.660000,26.240000,25.860239,542200
2023-11-20,26.240000,26.469999,26.020000,26.440001,26.057344,325400
2023-11-21,26.219999,26.379999,25.900000,25.910000,25.690477,292000
2023-11-22,25.920000,26.490000,25.879999,26.139999,25.918530,245300
2023-11-24,26.129999,26.629999,25.930000,26.389999,26.166410,147700
2023-11-27,26.209999,26.530001,26.129999,26.129999,25.908613,290300
2023-11-28,26.010000,26.290001,25.750000,25.940001,25.720224,315500
2023-11-29,26.070000,26.389999,25.860001,26.010000,25.789631,448100
2023-11-30,26.219999,26.420000,25.850000,26.379999,26.156496,395700
2023-12-01,26.260000,27.270000,26.070000,27.270000,27.038956,366200
2023-12-04,27.030001,27.730000,26.950001,27.660000,27.425652,333200
2023-12-05,27.559999,27.870001,27.209999,27.510000,27.276922,301100
2023-12-06,27.650000,28.190001,27.570000,28.010000,27.772686,402700
2023-12-07,28.160000,28.389999,27.840000,28.350000,28.109806,409200
2023-12-08,28.270000,28.790001,27.990000,28.500000,28.258535,281000
2023-12-11,28.440001,28.730000,28.280001,28.670000,28.427094,332400
2023-12-12,28.650000,28.809999,28.400000,28.660000,28.417179,304400
2023-12-13,28.700001,29.730000,28.389999,29.590000,29.339300,618000
2023-12-14,30.129999,30.820000,30.020000,30.450001,30.192015,339200
2023-12-15,30.650000,30.650000,29.809999,29.950001,29.696249,1000600
2023-12-18,30.010000,30.570000,29.600000,30.420000,30.162268,397700
2023-12-19,30.600000,31.290001,30.600000,31.100000,30.836508,503900
2023-12-20,31.139999,31.590000,30.629999,30.660000,30.400234,379300
2023-12-21,30.950001,31.510000,30.920000,31.430000,31.163710,300300
2023-12-22,31.480000,32.090000,31.480000,32.040001,31.768543,253700
2023-12-26,32.230000,32.799999,32.060001,32.730000,32.452698,169800
2023-12-27,32.860001,33.090000,32.610001,32.860001,32.581593,209900
2023-12-28,32.730000,32.919998,32.610001,32.840000,32.561764,193100
2023-12-29,32.639999,32.869999,32.470001,32.630001,32.353542,237800
2024-01-02,32.290001,32.619999,31.730000,31.950001,31.679306,747400
2024-01-03,31.730000,31.730000,30.209999,30.309999,30.053198,657700
2024-01-04,30.500000,30.790001,30.240000,30.400000,30.142435,461100
2024-01-05,30.139999,30.629999,29.680000,30.260000,30.003624,441800
2024-01-08,30.170000,30.889999,30.040001,30.820000,30.558878,303500
2024-01-09,30.280001,30.490000,30.000000,30.139999,29.884638,343200
2024-01-10,30.139999,30.760000,30.040001,30.400000,30.142435,297900
2024-01-11,30.219999,32.130001,29.690001,31.770000,31.500832,537400
2024-01-12,31.790001,32.299999,31.480000,31.750000,31.480999,430500
2024-01-16,31.450001,31.690001,30.600000,30.700001,30.439896,297100
2024-01-17,30.610001,30.809999,30.049999,30.260000,30.003624,526000
2024-01-18,30.400000,31.000000,30.180000,30.969999,30.707607,573600
2024-01-19,30.840000,30.930000,30.389999,30.820000,30.558878,297900
2024-01-22,31.000000,31.480000,30.959999,31.420000,31.153795,391100
2024-01-23,31.910000,32.529999,31.799999,32.020000,31.748713,346700
2024-01-24,32.450001,32.470001,31.629999,32.090000,31.818119,318200
2024-01-25,32.209999,32.720001,32.000000,32.450001,32.175068,270000
2024-01-26,32.720001,33.000000,32.439999,32.520000,32.244476,235800
2024-01-29,32.360001,32.959999,32.230000,32.830002,32.551849,238800
2024-01-30,33.500000,33.740002,33.070000,33.619999,33.335155,403800
2024-01-31,33.639999,34.389999,33.080002,33.110001,32.829475,451900
2024-02-01,33.340000,34.070000,32.450001,33.919998,33.632614,401900
2024-02-02,33.480000,33.990002,33.279999,33.700001,33.414478,261400
2024-02-05,33.250000,33.689999,32.889999,33.509998,33.226086,321000
2024-02-06,33.570000,34.400002,33.570000,34.270000,33.979649,236100
2024-02-07,34.310001,34.470001,33.950001,34.259998,33.969734,262400
2024-02-08,34.299999,34.869999,34.110001,34.669998,34.376259,227400
2024-02-09,34.790001,35.279999,34.439999,35.090000,34.792702,302900
2024-02-12,35.119999,36.070000,35.119999,35.830002,35.526436,291700
2024-02-13,34.759998,35.119999,33.840000,34.509998,34.217613,466800
2024-02-14,35.009998,35.320000,34.669998,35.189999,34.891853,313900
2024-02-15,35.520000,36.680000,35.520000,36.540001,36.230415,349400
2024-02-16,35.439999,37.619999,35.189999,36.360001,36.051941,520300
2024-02-20,35.820000,36.599998,35.740002,35.840000,35.536346,367700
2024-02-21,35.709999,36.590000,35.630001,36.259998,36.114010,468200
2024-02-22,36.119999,36.490002,35.810001,36.430000,36.283325,306000
2024-02-23,36.439999,36.910000,36.049999,36.290001,36.143890,289600
2024-02-26,36.020000,36.810001,35.360001,35.360001,35.217636,393400
2024-02-27,35.700001,36.000000,35.080002,35.450001,35.307274,261300
2024-02-28,35.160000,35.590000,34.570000,34.590000,34.450733,275800
2024-02-29,35.099998,35.389999,34.639999,34.939999,34.799324,235500
2024-03-01,35.020000,35.060001,34.410000,34.830002,34.689770,243300
2024-03-04,34.810001,35.689999,34.810001,35.419998,35.277390,192700
2024-03-05,35.259998,36.290001,35.259998,35.639999,35.496506,209700
2024-03-06,35.830002,36.060001,35.250000,35.939999,35.795300,216000
2024-03-07,36.299999,37.820000,36.299999,37.759998,37.607971,385200
2024-03-08,38.189999,38.490002,37.450001,37.740002,37.588055,300100
2024-03-11,37.490002,37.570000,37.070000,37.259998,37.109982,212600
2024-03-12,37.400002,38.130001,37.299999,37.660000,37.508373,285800
2024-03-13,37.570000,38.029999,37.320000,37.900002,37.747410,252000
2024-03-14,37.700001,38.099998,36.709999,36.849998,36.701633,270800
2024-03-15,36.240002,36.910000,35.580002,36.570000,36.422764,708800
2024-03-18,36.509998,37.049999,36.389999,36.439999,36.293285,280200
2024-03-19,36.360001,36.750000,36.150002,36.400002,36.253448,254200
2024-03-20,36.220001,37.369999,36.099998,37.090000,36.940670,229700
2024-03-21,37.009998,37.439999,36.910000,37.000000,36.851032,263200
2024-03-22,37.080002,37.080002,36.430000,36.549999,36.402843,257400
2024-03-25,36.720001,37.020000,36.689999,36.720001,36.572159,174200
2024-03-26,36.889999,37.130001,36.169998,36.270000,36.123970,320400
2024-03-27,36.599998,37.509998,36.490002,37.480000,37.329098,508600
2024-03-28,37.570000,37.790001,36.970001,37.150002,37.000427,370100
2024-04-01,37.439999,37.540001,36.119999,36.290001,36.143890,224800
2024-04-02,35.939999,36.529999,35.049999,35.310001,35.167839,432300
2024-04-03,35.130001,35.959999,34.759998,35.119999,34.978600,500700
2024-04-04,35.610001,35.980000,34.950001,35.110001,34.968643,311900
2024-04-05,35.060001,35.930000,35.060001,35.830002,35.685745,204100
2024-04-08,36.090000,36.520000,35.990002,36.029999,35.884937,138000
2024-04-09,36.060001,36.820000,35.680000,36.810001,36.661797,214600
2024-04-10,35.410000,35.990002,35.119999,35.450001,35.307274,299800
2024-04-11,35.660000,36.169998,35.470001,36.080002,35.934738,176900
2024-04-12,35.759998,36.080002,34.970001,35.099998,34.958679,227800
2024-04-15,35.299999,35.680000,34.160000,34.330002,34.191784,226600
2024-04-16,34.139999,34.360001,33.500000,33.930000,33.793392,219400
2024-04-17,34.299999,34.299999,33.360001,33.389999,33.255566,226100
2024-04-18,35.490002,36.700001,35.299999,36.080002,35.934738,481600
2024-04-19,35.910000,36.450001,35.500000,35.759998,35.616024,323200
2024-04-22,35.889999,36.209999,35.509998,35.860001,35.715622,281700
2024-04-23,35.900002,36.639999,35.900002,36.259998,36.114010,171300
2024-04-24,36.000000,36.439999,35.639999,36.259998,36.114010,196300
2024-04-25,35.799999,36.189999,35.430000,35.910000,35.765419,261400
2024-04-26,35.590000,36.119999,32.650002,34.470001,34.331219,343300
2024-04-29,34.720001,35.779999,34.720001,35.389999,35.247513,290600
2024-04-30,35.209999,35.340000,34.660000,34.720001,34.580212,239600
2024-05-01,34.770000,35.560001,34.529999,34.799999,34.659889,195800
2024-05-02,35.250000,36.200001,35.070000,36.200001,36.054253,206400
2024-05-03,36.759998,36.900002,36.160000,36.540001,36.392883,134400
2024-05-06,36.869999,37.400002,36.540001,37.259998,37.109982,129200
2024-05-07,37.400002,37.660000,37.220001,37.389999,37.239460,204000
2024-05-08,37.060001,37.470001,36.980000,37.450001,37.299221,186700
2024-05-09,37.430000,38.410000,37.349998,38.360001,38.205555,207500
2024-05-10,38.470001,38.759998,38.080002,38.540001,38.384830,212100
2024-05-13,38.900002,39.650002,38.889999,39.180000,39.022255,267400
2024-05-14,39.830002,40.570000,39.639999,40.360001,40.197506,300000
2024-05-15,40.730000,41.009998,40.529999,40.770000,40.605854,285400
2024-05-16,40.470001,40.790001,40.360001,40.610001,40.446499,212000
2024-05-17,40.529999,41.070000,40.410000,40.950001,40.785130,170400
2024-05-20,40.950001,41.660000,40.720001,41.080002,40.914608,290700
2024-05-21,40.840000,41.189999,40.540001,41.060001,40.894688,291300
2024-05-22,40.939999,41.250000,40.150002,40.619999,40.456455,368800
2024-05-23,40.660000,40.680000,39.340000,40.070000,39.908672,239000
2024-05-24,40.619999,41.000000,40.029999,40.860001,40.695492,318200
2024-05-28,40.860001,41.099998,39.700001,39.740002,39.580002,384300
2024-05-29,38.700001,38.770000,38.080002,38.200001,38.200001,209400
2024-05-30,38.419998,38.790001,38.160000,38.599998,38.599998,215400
2024-05-31,38.650002,38.889999,38.180000,38.490002,38.490002,464300
2024-06-03,38.610001,38.650002,37.709999,38.250000,38.250000,230800
2024-06-04,38.000000,38.369999,37.520000,37.779999,37.779999,133500
2024-06-05,37.980000,38.590000,37.779999,38.490002,38.490002,198300
2024-06-06,38.299999,38.380001,37.790001,37.930000,37.930000,193400
2024-06-07,37.410000,38.099998,37.130001,37.150002,37.150002,143500
2024-06-10,36.650002,37.290001,36.470001,37.099998,37.099998,182800
2024-06-11,36.759998,37.380001,36.150002,37.360001,37.360001,289500
2024-06-12,38.549999,38.810001,38.160000,38.419998,38.419998,265800
2024-06-13,38.840000,39.200001,38.360001,39.189999,39.189999,227100
2024-06-14,38.959999,39.189999,38.110001,38.889999,38.889999,345300
2024-06-17,38.500000,39.900002,38.500000,39.830002,39.830002,218700
2024-06-18,39.849998,39.849998,39.299999,39.560001,39.560001,255300
2024-06-20,39.230000,39.720001,38.919998,39.490002,39.490002,215400
2024-06-21,38.000000,39.439999,37.810001,39.200001,39.200001,923900
2024-06-24,39.200001,39.810001,39.080002,39.369999,39.369999,466600
2024-06-25,39.180000,39.240002,38.250000,38.900002,38.900002,192700
2024-06-26,38.619999,42.529999,38.310001,41.869999,41.869999,1116600
2024-06-27,41.799999,42.480000,41.259998,41.759998,41.759998,484100
2024-06-28,42.000000,42.869999,40.880001,41.410000,41.410000,720700
2024-07-01,41.560001,41.660000,39.880001,39.880001,39.880001,283200
2024-07-02,40.040001,40.610001,39.740002,40.310001,40.310001,363600
2024-07-03,40.770000,40.919998,40.360001,40.650002,40.650002,96800
2024-07-05,40.360001,40.900002,39.900002,40.709999,40.709999,185500
